date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:21	357/357	---M--	200	added ('OK')	image/gif	etag:%224026ef1c-165-444b952b3db80%22	http://the-gammons.net/assets/images/autogen/Gammon_Hp3.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Gammon_Hp3.gif	(from http://the-gammons.net/html/gammon.html)
17:19:21	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:21%20GMT	http://the-gammons.net/html/Gammon_HRp4.gif	websites/the-gammons.net/the-gammons.net/html/Gammon_HRp4.gif	(from http://the-gammons.net/html/gammon.html)
17:19:22	29478/29478	---M--	200	added ('OK')	text/html	etag:%22482fa3f8-7326-444b9439f6240%22	http://the-gammons.net/html/edwin_alfred_gammon__1861_.html	websites/the-gammons.net/the-gammons.net/html/edwin_alfred_gammon__1861_.html	(from http://the-gammons.net/html/gammon.html)
17:19:22	396/396	---M--	200	added ('OK')	image/gif	etag:%224026ef10-18c-444b952679040%22	http://the-gammons.net/assets/images/autogen/Edwin_Alfred_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Edwin_Alfred_Np1.gif	(from http://the-gammons.net/html/gammon.html)
17:19:22	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:22%20GMT	http://the-gammons.net/html/Edwin_Alfred_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Edwin_Alfred_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:22	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:22%20GMT	http://the-gammons.net/html/Raeper_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Raeper_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:23	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:22%20GMT	http://the-gammons.net/html/Faull_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Faull_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:23	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:23%20GMT	http://the-gammons.net/html/Goodgame_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Goodgame_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:23	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:23%20GMT	http://the-gammons.net/html/Grunert_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Grunert_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:23	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:23%20GMT	http://the-gammons.net/html/Petzold_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Petzold_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:23	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:23%20GMT	http://the-gammons.net/html/Beyer_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Beyer_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:24	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:24%20GMT	http://the-gammons.net/html/Jaguttis_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Jaguttis_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:24	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:24%20GMT	http://the-gammons.net/html/Links_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Links_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
17:19:24	1204/1204	---M--	200	added ('OK')	image/gif	etag:%224026ef1e-4b4-444b950ad0f00%22	http://the-gammons.net/assets/images/autogen/Gammon_Nbanner.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Gammon_Nbanner.gif	(from http://the-gammons.net/html/gammon.html)
17:19:24	2892/2892	---M--	200	added ('OK')	image/jpeg	etag:%224026ef06-b4c-444b951736c40%22	http://the-gammons.net/assets/images/autogen/a_Berrynarbor1911.jpg	websites/the-gammons.net/the-gammons.net/assets/images/autogen/a_Berrynarbor1911.jpg	(from http://the-gammons.net/html/gammon.html)
17:19:25	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:24%20GMT	http://the-gammons.net/html/Gammon_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Gammon_NRp2.gif	(from http://the-gammons.net/html/raeper.html)
17:19:25	352/352	---M--	200	added ('OK')	image/gif	etag:%224026f143-160-444b951736c40%22	http://the-gammons.net/assets/images/autogen/Raeper_Hp3.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Raeper_Hp3.gif	(from http://the-gammons.net/html/raeper.html)
17:19:25	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:25%20GMT	http://the-gammons.net/html/Raeper_HRp4.gif	websites/the-gammons.net/the-gammons.net/html/Raeper_HRp4.gif	(from http://the-gammons.net/html/raeper.html)
17:19:26	30265/30265	---M--	200	added ('OK')	text/html	etag:%22482fa3f6-7639-444b967cd7800%22	http://the-gammons.net/html/alexander_raeper__1869_.html	websites/the-gammons.net/the-gammons.net/html/alexander_raeper__1869_.html	(from http://the-gammons.net/html/raeper.html)
17:19:26	358/358	---M--	200	added ('OK')	image/gif	etag:%224026ef02-166-444b950518180%22	http://the-gammons.net/assets/images/autogen/Alexander_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Alexander_Np1.gif	(from http://the-gammons.net/html/raeper.html)
